x_1,x_2,Label
0.395467,-0.115121,M
-0.183949,0.029107,A
0.00635,-0.000809,C
-0.264267,-0.513055,C
-0.044617,0.142823,I
-0.145426,0.630988,N
0.384676,0.057013,I
0.297635,0.234436,I
-0.271172,-0.039644,N
-0.018679,-0.03538,A
-0.731656,-0.026791,C
0.145142,0.127574,M
0.152975,0.633111,A
0.089718,-0.177896,C
0.530638,-0.3209,M
-0.089368,-0.067876,N
-0.084691,-0.090881,N
0.001165,0.010337,M
0.234702,0.159299,M
-0.613138,-0.182519,C
0.166036,-0.72149,M
0.29747,0.618967,A
-0.326801,0.006469,N
0.462889,0.013716,I
-0.204304,0.502353,N
-0.094505,-0.045346,A
-0.493016,-0.785952,M
0.388113,0.617033,A
0.001304,0.09441,I
-0.002932,0.037894,I
0.63039,0.548435,A
0.521245,0.007835,I
0.755686,0.272629,A
0.095748,-0.191209,C
-0.228801,0.085485,A
-0.279679,-0.912492,I
0.830682,0.210637,A
0.086465,-0.068034,C
-0.369595,0.007627,N
-0.417352,0.372353,N
-0.037225,-0.935046,I
0.027843,0.073948,M
-0.663748,0.729129,C
-0.380371,0.290633,N
0.830232,0.217196,A
0.486473,-0.399243,I
0.353537,0.095747,I
-0.365657,0.15736,N
-0.444575,-0.797427,M
-0.203166,-0.901372,I
-0.304573,0.417641,N
0.483332,0.150768,I
0.260934,-0.795674,I
0.959352,0.143293,A
-0.402905,-0.749545,M
-0.373872,0.282986,N
0.38918,0.191824,I
0.544652,0.566919,A
0.477853,0.159281,I
-0.276432,-0.114637,N
-0.130622,-0.875486,M
0.151538,0.161474,M
-0.168867,-0.011138,A
-0.3187,0.174348,A
0.199814,0.829442,N
-0.540066,-0.25189,C
0.278889,0.226171,I
0.442245,-0.244435,M
0.438304,0.577438,A
-0.027209,-0.839327,M
0.337487,0.059365,M
0.246736,0.12558,M
-0.00006,0.000998,M
0.069709,-0.017261,C
0.298395,-0.819755,I
-0.853107,0.046461,C
-0.334459,0.126186,A
0.104755,-0.14863,C
-0.16672,0.510156,A
-0.087881,-0.107987,N
-0.200842,0.503101,A
-0.024207,-0.053818,N
0.422935,0.152796,I
0.212978,0.114167,M
0.099676,0.631307,A
-0.100517,-0.917093,I
0.084578,-0.063265,C
-0.202969,0.397239,A
0.14365,-0.169579,C
0.13813,0.262539,I
0.150121,-0.744365,M
-0.202623,0.380952,A
-0.387156,0.009684,N
-0.014805,-0.026787,N
0.281836,-0.600482,M
-0.210777,0.237929,A
0.411781,-0.421303,M
0.060071,-0.396354,C
-0.089589,0.648573,N
-0.202124,0.411312,A
0.51949,0.090448,I
0.489008,0.029517,I
0.39447,-0.237196,M
-0.070337,-0.018043,A
-0.253242,-0.905648,I
0.609549,0.526056,A
-0.410193,0.209712,N
-0.313784,-0.042605,N
0.135525,0.265017,I
0.74911,0.246287,A
-0.041198,0.14343,I
0.882191,0.457574,N
0.565559,0.72155,A
0.671,0.645363,N
0.007406,0.278157,I
